Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Simon Mignolet;REA;POR;POR;POR;37;3.5;3.5;Jugador importante;BEL;50m € - 210m €;4,42M € p/a;30/6/2026;13;11;12;7;14;12;15;16;12;14;12;10;15;14;14;13;13;15;3;13;3;15;11;8;10;3;1;2;11;6;4;1;2;11;2;3;8;1;3;9;11;13;13;14;11;12;13
Nordin Jackers;S1;POR;POR;PJP;27;3;3;Recambio;BEL;500m € - 800m €;399m € p/a;30/6/2029;13;11;11;9;13;13;13;14;8;9;12;6;13;13;12;11;12;11;7;9;9;12;10;10;11;7;10;7;9;11;10;9;12;12;5;11;11;9;10;12;12;11;13;10;13;12;11
Argus Vanden Driessche;;POR;POR;POR;18;2;4.5;Futura promesa;BEL;850m € - 1,4M €;83m € p/a;30/6/2029;11;8;10;5;14;14;9;14;7;5;12;11;6;9;9;10;14;3;3;11;2;12;8;7;9;3;3;3;5;4;1;1;2;9;1;2;12;2;1;6;6;7;17;14;9;2;7
Axl De Corte;;POR;POR;PSC;19;2;3;Promesa casi en el primer equipo;BEL;120m € - 1,2M €;94,5m € p/a;30/6/2028;14;11;11;5;12;8;11;13;12;14;9;11;9;11;8;9;15;2;3;2;2;15;10;9;9;3;2;1;9;4;1;1;1;9;3;1;4;1;3;11;7;10;17;11;9;5;9
Thibeau Kestemont;;POR;POR;POR;17;2.5;4;Futura promesa;BEL;130m € - 1,3M €;3m € p/a;30/6/2026;11;9;8;7;13;13;11;13;5;6;10;6;10;10;5;8;13;11;1;5;1;10;8;8;6;5;3;2;5;9;1;3;1;9;1;2;1;1;2;5;9;10;15;12;7;5;4
Xander Vandenberghe;;POR;POR;POR;16;2.5;3.5;Futura promesa;BEL;90m € - 900m €;3m € p/a;30/6/2027;11;10;6;5;14;10;10;14;7;10;8;6;5;10;4;8;9;4;2;2;1;9;7;6;6;2;2;2;6;5;1;1;1;8;1;2;6;3;3;13;7;7;15;8;10;3;5
Stefan Ostoici;Ind;POR;POR;POR;16;2.5;4;Futura promesa;HUN;95m € - 1,7M €;29,5m € p/a;30/6/2028;9;8;9;5;12;10;10;12;10;12;8;13;5;13;7;12;13;6;1;8;1;10;7;5;6;3;1;2;2;5;1;3;1;9;2;1;1;3;3;12;7;7;7;13;11;1;4
Dani van den Heuvel;;POR;POR;PSC;22;2;2.5;Recambio;NED;12m € - 45m €;120m € p/a;30/6/2026;13;10;9;8;12;10;12;14;7;8;9;7;10;9;9;9;10;10;3;6;8;11;9;9;10;4;1;1;9;7;9;3;3;9;1;3;10;3;3;9;12;11;12;12;9;10;10
Jesse De Boever;Ind;POR;POR;PSC;16;1;3.5;Futura promesa;BEL;22m € - 210m €;3m € p/a;30/6/2027;7;7;5;5;13;6;4;10;7;7;7;6;9;13;6;6;13;9;3;10;3;12;6;4;5;4;3;3;5;6;1;1;1;6;3;3;4;2;2;12;10;1;12;11;10;5;6
Joaquin Seys;;DF/CR (DI);DF (I);LO;20;3;4.5;Jugador de plantilla;BEL;28M € - 37M €;449m € p/a;30/6/2029;;;;;;;;;;;;13;12;12;11;12;12;12;9;8;12;11;13;10;13;8;12;11;11;8;10;7;12;11;8;13;11;10;12;13;13;13;10;13;13;14;11
Kyriani Sabbe;JCN;DF/CR (D);DF (D);LO;20;2.5;5;Promesa casi en el primer equipo;BEL;11M € - 13M €;399m € p/a;30/6/2028;;;;;;;;;;;;11;12;13;10;13;12;12;10;8;14;10;13;10;13;6;13;7;11;6;9;9;12;13;8;12;12;12;13;13;12;11;10;12;13;14;12
Bjorn Meijer;JCN;DF/CR/ME (I);DF (I);LO;22;3;4;Jugador de plantilla;NED;2,6M € - 7M €;380m € p/a;30/6/2027;;;;;;;;;;;;12;12;14;11;12;12;10;12;8;12;11;14;12;13;9;12;6;12;11;13;8;11;12;5;13;12;9;12;14;11;12;14;11;12;14;12
Hugo Siquet;;DF/CR (D);DF (D);LO;23;2.5;3.5;Jugador secundario;BEL;550m € - 1,3M €;416m € p/a;30/6/2028;;;;;;;;;;;;14;12;15;12;10;11;12;11;8;14;10;14;9;14;12;12;7;11;11;12;9;14;11;9;13;10;10;12;13;12;10;10;12;13;15;12
Sacha Marloye;Ind;DF (D);DF (D);LO;17;2;4.5;Promesa casi en el primer equipo;BEL;550m € - 3M €;57m € p/a;30/6/2027;;;;;;;;;;;;7;10;12;5;8;15;13;10;11;12;8;13;9;10;6;10;4;11;3;8;5;12;12;7;12;10;9;9;14;13;12;10;12;10;12;10
Siebe Wylin;Ind;DF/CR/ME (D);DF (D);LO;22;2;2.5;Jugador secundario;BEL;50m € - 375m €;78m € p/a;30/6/2026;;;;;;;;;;;;9;6;9;10;8;10;5;5;14;10;10;13;9;13;9;13;5;9;8;11;6;4;12;3;12;10;11;12;14;13;15;12;12;12;8;7
Mohammed Elbay;;DF/CR (D);DF (D);LO;17;2.5;4.5;Futura promesa;BEL;750m € - 1,3M €;43,5m € p/a;30/6/2029;;;;;;;;;;;;9;10;10;7;10;11;17;7;8;12;8;10;7;14;6;10;3;11;2;10;7;2;9;1;14;8;10;8;15;15;9;8;14;12;9;5
Amar Bakkati;;DF (DC), CR (D);CR (D);LOA;17;2.5;4.5;Futura promesa;NED;220m € - 900m €;144m € p/a;30/6/2028;;;;;;;;;;;;12;8;9;6;8;14;11;8;7;9;9;13;9;12;7;11;5;9;7;8;3;7;8;6;8;12;10;7;14;14;14;10;11;12;8;4
