Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Jordan Pickford;;POR;POR;PJP;31;4;4;Jugador importante;ENG;56M € - 61M €;11,43M € p/a;30/6/2029;14;16;16;12;14;15;17;17;15;11;12;16;15;16;10;15;13;14;1;16;3;15;10;15;11;5;2;1;11;6;8;1;3;13;3;3;14;2;3;8;16;12;14;15;8;13;14
Mark Travers;;POR;POR;POR;26;3;3;Recambio;IRL;19M € - 21M €;2,4M € p/a;30/6/2029;14;12;13;7;15;14;12;16;8;7;14;8;14;12;10;13;12;12;6;8;3;14;11;12;12;3;3;3;9;8;1;1;2;10;3;2;10;2;1;11;13;10;13;14;11;15;11
Tom King;;POR;POR;PJP;30;1.5;1.5;Recambio;WAL;90m € - 350m €;451m € p/a;30/6/2027;15;9;10;10;9;15;10;12;11;13;13;6;8;11;8;7;7;12;2;9;3;7;12;8;13;1;2;1;7;3;2;2;2;5;3;4;7;3;2;8;12;15;15;8;7;12;16
Doug Lukjanciks;Juv;POR;POR;PSC;17;1;3;Joven;ENG;35m € - 350m €;18,25m € p/a;30/6/2026;13;10;16;9;13;11;11;13;8;11;8;6;10;7;6;13;12;12;1;12;1;8;7;6;6;4;1;1;1;5;1;2;1;7;2;3;3;1;1;8;9;7;12;16;8;3;3
George Pickford;Les;POR;POR;POR;18;1;2.5;Joven;ENG;28m € - 275m €;36m € p/a;30/6/2026;10;12;10;4;9;10;9;12;7;16;6;9;4;12;6;11;12;7;2;8;2;10;6;5;5;4;3;1;1;6;1;1;3;10;3;2;4;3;2;8;12;6;11;12;6;1;11
Goodness Gospel-Eze;Ind;POR;POR;POR;17;AM;2;Joven;NGA;3,5m € - 35m €;18,25m € p/a;30/6/2026;10;6;8;5;13;11;6;13;5;10;9;12;6;9;4;11;13;8;1;9;1;6;6;5;4;2;2;3;3;7;1;3;2;7;1;2;1;1;3;3;12;6;13;8;5;1;3
Seve Patrick;Ind;POR;POR;POR;16;1;2.5;Joven;ENG;40m € - 95m €;18,25m € p/a;30/6/2027;11;10;8;5;9;10;5;11;5;14;3;5;5;8;4;8;13;8;3;7;1;12;6;3;5;2;1;1;3;4;1;3;1;11;3;1;10;2;1;7;10;2;10;10;7;3;4
Fraser Barnsley;Ced;POR;POR;POR;20;1;2.5;Cedido en otro club (Marine);ENG;12m € - 85m €;78m € p/a;30/6/2027;10;9;12;7;12;8;13;15;11;7;8;12;10;13;8;10;7;6;2;13;2;12;8;7;7;;;;2;5;;;;11;3;;2;;;8;9;3;12;15;8;5;9
Nathan Patterson;;DF/CR (D);DF (D);LO;23;2.5;3.5;Jugador de plantilla;SCO;18,5M € - 20M €;2,4M € p/a;30/6/2027;;;;;;;;;;;;12;11;12;12;12;7;14;7;4;13;11;13;11;14;12;14;8;11;6;8;11;10;11;5;13;11;9;10;15;13;11;11;14;15;17;12
Jarrad Branthwaite;;DF (DIC);DF (C);CCT;23;3.5;4;Jugador importante;ENG;46M € - 63M €;8,12M € p/a;30/6/2030;;;;;;;;;;;;14;14;17;15;14;12;13;13;11;11;14;13;14;14;3;6;7;12;7;16;5;9;12;6;14;14;12;12;14;12;13;18;13;14;13;15
Vitaliy Mykolenko;;DF/CR (I);DF (I);LO;26;3;3;Titular habitual;UKR;17M € - 18,5M €;4,51M € p/a;30/6/2026;;;;;;;;;;;;12;14;15;13;11;12;16;7;8;13;13;13;11;16;8;13;9;12;5;13;9;11;13;4;14;11;10;14;15;13;11;13;14;15;15;13
Adam Aznou;;DF/CR (I);CR (I);LOA;19;2.5;4;Promesa casi en el primer equipo;MAR;11M € - 13,5M €;1,2M € p/a;30/6/2029;;;;;;;;;;;;13;12;12;10;9;10;13;16;10;11;9;12;11;15;12;14;7;14;11;6;10;10;12;11;11;16;15;9;15;15;14;8;13;14;13;7
Seamus Coleman;;DF/CR/ME (D);DF (D);LPD;36;2.5;2.5;Titular habitual;IRL;1,4M € - 1,8M €;2,1M € p/a;30/6/2026;;;;;;;;;;;;15;14;15;13;14;14;18;11;17;13;14;15;9;15;5;11;12;12;8;14;13;12;12;7;15;12;11;12;12;11;14;10;9;12;12;13
Jake O'Brien;;DF (DC);DF (D);LPD;24;3;3.5;Titular habitual;IRL;38M € - 47M €;3M € p/a;30/6/2028;;;;;;;;;;;;14;12;15;13;13;12;14;3;15;11;14;12;7;14;4;10;8;13;6;16;4;15;11;4;15;11;9;14;14;9;14;18;10;16;14;15
Michael Nyabinde;Ind;DF (D);DF (D);LO;16;1;3;Joven;ZIM;40m € - 425m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;13;8;14;5;7;9;17;5;8;7;6;8;5;10;5;9;5;10;2;8;4;7;8;3;9;15;7;7;11;13;11;3;6;12;12;5
Joshua van Schoor;;DF (I);DF (I);LO;18;1;2.5;Joven;RSA;0 € - 70m €;48m € p/a;30/6/2027;;;;;;;;;;;;7;5;14;5;7;11;5;6;1;5;7;8;4;15;6;11;1;12;2;9;1;3;12;1;13;14;11;6;5;11;14;10;14;9;13;4
Odin Samuels-Smith;;DF (DIC);DF (D);LO;19;1;2.5;Joven;ENG;4,5m € - 85m €;36m € p/a;30/6/2026;;;;;;;;;;;;13;5;10;2;8;13;12;5;7;5;6;12;5;11;2;11;2;6;1;5;3;1;9;5;10;6;7;10;13;13;6;12;13;14;6;6
