Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Lucas Perri;POR;POR;POR;POR;27;3;3.5;Primer portero;BRA;24M € - 26M €;3,61M € p/a;30/6/2029;15;12;11;8;14;10;14;15;9;18;18;5;14;12;12;14;12;14;5;8;10;15;12;12;14;4;2;2;10;8;9;1;1;10;1;1;10;5;3;11;13;13;18;16;11;13;15
Illan Meslier;Seg;POR;POR;PJP;25;2.5;3;Recambio;FRA;6,2M € - 7M €;2,4M € p/a;30/6/2026;17;10;11;11;12;12;16;14;15;14;13;12;13;14;13;12;11;12;6;8;4;12;12;10;12;4;2;3;10;8;9;2;2;10;5;3;12;3;3;9;16;12;17;15;9;13;8
Karl Darlow;;POR;POR;POR;34;2.5;2.5;Recambio;WAL;2,5M € - 5,2M €;1,8M € p/a;30/6/2026;13;13;14;5;15;11;13;13;16;13;13;8;13;13;13;12;12;13;3;9;3;16;12;6;16;3;1;2;8;6;7;3;1;8;4;3;8;1;1;9;14;13;14;13;8;10;13
Alex Cairns;NoI;POR;POR;PJP;32;2.5;2.5;Recambio de emergencia;ENG;75m €;481m € p/a;30/6/2026;10;10;10;12;12;11;12;14;13;11;12;12;10;10;13;10;10;13;5;10;5;9;11;11;13;2;1;2;8;7;7;2;2;10;2;1;8;3;3;9;9;10;10;15;9;13;10
Darryl Ombang;;POR;POR;PSC;20;1.5;2.5;Joven;ENG;7m € - 45m €;45m € p/a;30/6/2026;10;10;7;11;14;8;10;14;8;7;8;13;5;10;8;10;14;11;3;10;3;10;8;7;7;3;3;3;3;6;1;2;3;8;3;1;2;1;3;7;7;3;12;8;7;2;4
Robert Cook;Ced;POR;POR;POR;18;1.5;2.5;Joven;AUS;60m € - 600m €;36m € p/a;30/6/2028;12;7;7;7;14;12;5;14;12;6;6;11;12;10;8;13;14;3;1;8;2;11;8;4;7;3;1;3;1;4;1;1;3;9;3;3;5;3;1;8;12;8;16;11;5;6;5
Rory Mahady;;POR;POR;PJP;19;1.5;2.5;Cedido en otro club;SCO;50m € - 475m €;150m € p/a;30/6/2028;10;14;9;16;11;14;8;13;9;10;9;12;11;8;14;7;14;7;3;2;2;7;8;7;7;2;3;2;5;7;1;3;1;14;3;1;12;1;1;9;12;8;11;14;9;7;9
Alex Baird;;POR;POR;PSC;18;1;2;Joven;ENG;10m € - 95m €;18,25m € p/a;30/6/2027;12;10;7;5;13;10;10;11;12;5;4;7;10;8;4;11;13;5;1;8;2;11;7;6;6;2;1;1;4;6;1;1;2;7;3;1;3;1;1;4;16;7;12;7;8;1;3
George Kenyon;Ind;POR;POR;PJP;17;1;2.5;Joven;ENG;0 € - 85m €;18,25m € p/a;30/6/2026;12;6;6;14;13;13;10;8;12;11;5;14;8;8;10;7;14;2;2;11;3;8;7;6;6;2;2;3;1;5;1;3;1;7;3;2;1;2;2;8;12;3;14;15;8;2;3
Oliver Wood;;POR;POR;PSC;16;1;2.5;Joven;ENG;0 € - 75m €;18,25m € p/a;30/6/2027;7;7;2;5;8;9;5;12;7;7;3;11;3;14;5;8;12;6;1;10;1;5;5;4;4;1;2;2;1;2;1;1;1;4;1;3;4;3;1;8;14;5;8;5;11;2;4
Jayden Bogle;;DF/CR (D);CR (D);LOA;25;3;3.5;Titular habitual;ENG;30M € - 34M €;2,73M € p/a;30/6/2028;;;;;;;;;;;;11;12;11;11;12;12;14;14;8;13;12;16;14;15;9;14;11;13;8;10;5;11;15;7;11;15;14;12;15;14;14;9;15;14;16;11
James Justin;;DF (DIC), CR (DI);DF (D);LO;27;3;3;Jugador de plantilla;ENG;21M € - 23M €;3,91M € p/a;30/6/2029;;;;;;;;;;;;12;13;12;12;11;12;16;7;11;10;15;14;11;14;9;12;5;12;9;12;8;11;12;6;14;12;13;13;14;13;11;10;12;13;14;12
Maximilian Wöber;;DF (IC);DF (I);LPD;27;3;3;Cedido en otro club;AUT;6,4M € - 8,6M €;1,8M € p/a;30/6/2027;;;;;;;;;;;;16;13;16;13;12;12;16;8;14;10;14;16;12;16;6;11;6;12;13;13;8;12;13;12;14;12;11;13;12;11;14;14;8;13;13;14
Isaac Schmidt;;DF/CR (DI);CR (D);LOA;25;2.5;3;Cedido en otro club;SUI;6,2M € - 7,4M €;1,92M € p/a;30/6/2028;;;;;;;;;;;;14;12;13;12;10;12;12;14;7;13;10;12;11;14;8;11;8;13;6;7;13;12;11;8;12;14;14;10;14;13;12;8;12;14;14;11
Sam Byram;;DF (DIC), ME (D);DF (D);LO;31;2.5;2.5;Jugador secundario;ENG;800m € - 1,7M €;722m € p/a;30/6/2026;;;;;;;;;;;;11;12;12;11;12;12;13;9;12;12;13;13;11;13;5;12;7;11;3;13;8;13;11;5;13;12;11;13;12;11;12;12;14;13;12;10
Leonard Ngenge;;DF (IC);DF (I);LPD;17;1.5;3.5;Futura promesa;NGA;160m € - 850m €;45m € p/a;30/6/2027;;;;;;;;;;;;11;11;13;11;10;10;16;8;7;8;12;13;9;12;5;8;5;10;6;11;6;9;10;6;11;10;8;12;11;11;10;12;11;11;11;12
Jayden Lienou;;DF/CR (I);DF (I);LO;17;2.5;2.5;Futura promesa;WAL;150m € - 1,5M €;181m € p/a;30/6/2028;;;;;;;;;;;;12;6;10;8;10;10;11;5;2;7;9;14;9;14;7;13;4;8;4;9;6;6;13;8;14;11;10;8;10;7;15;8;6;8;15;5
Coban Bird;;DF/CR (I);DF (I);CPD;17;2.5;2.5;Joven;ENG;150m € - 320m €;30m € p/a;30/6/2027;;;;;;;;;;;;10;10;9;12;8;15;10;6;5;7;9;12;8;11;5;8;3;9;4;3;6;9;9;6;14;13;8;8;11;13;6;7;13;10;10;6
Louie Philpott;Ind;DF (I);DF (I);LO;15;1;3.5;Futura promesa;ENG;50m € - 500m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;12;5;9;3;8;15;4;5;12;3;7;8;7;8;5;8;5;8;1;8;6;6;4;1;12;8;1;6;15;14;8;8;18;11;6;3
Louie Dudley;;DF/CR (D);CR (D);LO;17;1;2;Joven;ENG;20m € - 190m €;48m € p/a;30/6/2027;;;;;;;;;;;;12;7;7;7;9;13;4;5;5;6;6;13;7;12;5;12;1;5;1;6;2;4;9;1;10;5;6;4;16;11;7;11;9;15;8;3
Aiden Thompson;;DF (D);DF (D);LO;16;1;2;Joven;ENG;3m € - 30m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;7;4;3;3;10;14;9;7;6;5;6;6;5;7;4;10;5;10;1;3;5;5;4;1;9;6;2;4;11;13;6;6;11;13;12;2
Jaka Bijol;;DF (C);DF (C);CCT;26;3.5;3.5;Jugador importante;SVN;48M € - 57M €;2,7M € p/a;30/6/2030;;;;;;;;;;;;16;15;13;13;15;14;15;7;14;8;14;15;8;14;4;7;9;12;6;18;9;9;12;7;15;11;7;14;12;10;14;16;17;13;13;18
Joe Rodon;;DF (C);DF (C);CCT;27;3;3.5;Titular habitual;WAL;35M € - 38M €;3,3M € p/a;30/6/2028;;;;;;;;;;;;14;14;16;12;12;13;15;9;14;8;14;14;8;14;4;7;2;11;3;15;3;10;12;5;14;12;13;12;15;13;10;16;12;15;13;16
Pascal Struijk;Est;DF (IC);DF (C);CCT;26;3.5;3.5;Titular habitual;NED;34M € - 41M €;2,4M € p/a;30/6/2027;;;;;;;;;;;;13;13;14;14;12;12;13;8;13;11;14;14;13;13;3;10;8;12;3;17;6;8;15;14;15;13;11;14;12;11;13;16;14;13;13;14
Sebastiaan Bornauw;;DF (C);DF (C);CD;26;3;3;Jugador de plantilla;BEL;19,5M € - 22M €;3M € p/a;30/6/2029;;;;;;;;;;;;16;14;16;11;13;11;16;7;14;8;14;13;11;16;3;8;7;11;4;16;8;10;12;8;13;11;8;14;12;9;15;16;12;15;12;16
Jacob Howard;;DF (C);DF (C);DFC;16;2.5;4;Futura promesa;ENG;1,2M € - 2,3M €;18,25m € p/a;30/6/2027;;;;;;;;;;;;7;12;9;8;10;13;4;5;2;5;13;6;6;6;3;4;1;6;1;9;2;2;7;4;12;6;1;8;13;12;7;12;12;12;9;6
Josh Hamilton;;DF (DC);DF (C);DFC;17;2.5;3.5;Joven;ENG;140m € - 320m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;11;11;11;11;14;10;5;7;4;10;6;10;8;2;4;7;11;1;12;1;3;10;1;12;10;8;12;8;9;9;14;6;11;7;7
Reuben Lopata-White;;DF (C);DF (C);CD;19;2.5;2.5;Cedido en otro club;ENG;1M € - 250m €;36m € p/a;30/6/2027;;;;;;;;;;;;15;5;14;7;8;14;15;5;6;5;13;7;6;8;3;3;2;6;1;11;7;1;10;6;13;8;1;12;9;11;8;11;13;11;8;10
Louis Enahoro-Marcus;;DF (C);DF (C);CD;18;2.5;2.5;Joven;NGA;16m € - 160m €;45m € p/a;30/6/2027;;;;;;;;;;;;10;8;9;5;5;14;10;5;10;6;11;7;7;8;5;3;1;7;1;10;7;5;8;4;14;6;2;14;8;11;8;10;12;11;10;9
Alfie Cresswell;;DF (DC), MC;DF (C);CD;18;2;3;Futura promesa;ENG;550m € - 1,2M €;60m € p/a;30/6/2028;;;;;;;;;;;;15;10;16;6;10;11;14;5;7;2;15;13;8;12;7;11;7;11;9;13;7;4;8;7;10;10;9;12;8;8;10;11;13;9;8;12
Will Firth;Juv;DF (DIC);DF (C);DFC;17;1;2.5;Joven;AUS;12m € - 120m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;10;10;7;6;12;16;6;10;5;11;8;5;8;3;7;4;8;1;15;5;3;6;7;9;5;8;10;9;9;4;12;16;10;8;6
Luke Matykiewicz;Juv;DF (C);DF (C);CD;17;1;2.5;Joven;NIR;0 € - 85m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;11;16;7;5;15;8;5;7;7;12;7;3;8;3;4;1;7;4;11;5;3;7;1;11;7;2;10;6;9;8;13;11;8;9;6
Jacob Watson;Juv;DF (C);DF (C);CD;16;1;3;Joven;ENG;0 € - 95m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;12;9;3;5;6;13;13;5;11;4;12;6;6;7;1;1;1;7;3;10;1;4;7;1;11;4;3;13;10;11;7;9;12;11;4;4
Miller Megson;;DF (C);DF (C);CD;16;1;2.5;Joven;ENG;14m € - 140m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;12;13;8;5;8;9;9;5;6;3;13;5;4;6;4;4;3;6;1;10;3;2;5;2;8;1;1;13;13;10;6;10;12;10;4;4
Isaac Bridge;Juv;DF (C);DF (C);CD;16;1;2;Joven;ENG;3m € - 30m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;6;9;8;6;5;5;9;5;2;2;13;5;1;6;2;1;2;7;5;9;1;1;6;1;10;2;1;13;13;12;6;14;10;13;4;4
Anton Stach;;DF (C), MC, ME;MC;MC;26;3.5;3.5;Jugador importante;GER;41M € - 55M €;4,51M € p/a;30/6/2029;;;;;;;;;;;;16;18;16;12;12;12;17;12;13;10;14;16;12;16;14;11;8;12;15;12;13;7;13;12;16;12;12;12;12;11;14;16;15;13;16;16
Ao Tanaka;;MC, ME (C);MC;PVO;26;3.5;3.5;Titular habitual;JPN;38M € - 42M €;2,7M € p/a;30/6/2028;;;;;;;;;;;;13;13;14;15;12;14;15;12;12;14;12;16;15;15;12;10;11;15;12;8;12;6;15;11;12;15;12;12;12;16;12;10;14;13;15;10
Ethan Ampadu;Les;DF (C), MC, ME;MC;MC;24;3.5;3.5;Jugador importante;WAL;33M € - 42M €;2,1M € p/a;30/6/2027;;;;;;;;;;;;12;15;16;15;14;14;15;7;15;9;14;15;12;14;6;9;6;12;6;12;5;16;13;7;15;12;10;14;13;11;15;13;13;13;13;13
Iliya Gruev;Seg;MC, ME (C);MC;MC;25;3;3;Jugador secundario;BUL;8,8M € - 11M €;2,73M € p/a;30/6/2027;;;;;;;;;;;;14;15;15;14;13;13;16;10;11;13;15;16;14;15;14;11;7;14;14;11;12;6;14;11;14;15;9;14;11;12;13;14;13;12;15;12
Sean Longstaff;;MC, ME (C);MC;CTT;27;3;3.5;Jugador de plantilla;ENG;23M € - 30M €;3,3M € p/a;30/6/2029;;;;;;;;;;;;13;14;18;13;14;12;15;10;15;15;15;17;12;17;15;11;12;13;11;11;11;7;12;11;14;13;12;11;11;11;13;11;15;12;18;12
Charlie Crew;Ced;MC, ME (C);ME (C);CO;19;2;4.5;Promesa casi en el primer equipo;WAL;3,5M € - 5,8M €;150m € p/a;30/6/2028;;;;;;;;;;;;10;11;9;13;10;10;12;12;12;12;10;12;13;12;12;10;7;14;11;7;8;4;14;7;10;13;12;6;12;13;13;8;8;11;11;11
Jonny Howson;NoI;CR (D), MC, ME;ME (C);MC;37;2;2;Jugador secundario;ENG;75m € - 120m €;301m € p/a;30/6/2026;;;;;;;;;;;;12;14;16;14;13;14;14;9;15;12;14;15;12;14;11;10;11;12;12;7;13;9;14;12;12;13;8;13;8;8;11;8;14;7;10;9
Oliver Pickles;;MC, ME (C);ME (C);MC;17;2.5;2.5;Futura promesa;ENG;85m € - 850m €;48m € p/a;30/6/2028;;;;;;;;;;;;15;6;8;7;8;13;5;6;5;7;11;14;7;13;8;8;12;10;8;7;8;8;15;7;15;12;8;10;12;8;15;11;10;10;12;6
Rhys Chadwick;;MC, ME/MP (C);MC;PVO;18;2;3;Joven;ENG;120m € - 1,2M €;90,5m € p/a;30/6/2027;;;;;;;;;;;;11;9;8;13;8;14;14;8;8;9;8;12;13;12;10;8;9;12;10;7;8;5;13;4;8;13;10;7;10;11;13;9;14;10;11;8
Jack Morris;;ME/MP (C);ME (C);OAD;17;1;2.5;Joven;ENG;35m € - 75m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;9;4;3;8;6;13;6;10;6;8;5;7;13;8;5;7;8;14;6;5;10;5;14;2;3;11;12;5;13;11;7;8;5;11;3;3
Callum Mills;Ind;ME/MP (C);ME (C);MP;16;1;3;Joven;ENG;40m € - 400m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;13;8;5;8;6;11;12;9;4;7;6;7;11;4;6;4;9;8;6;2;14;3;12;6;6;6;8;7;10;14;6;9;14;12;4;6
Joe Bhaskaran;Ind;MC, ME (C);ME (C);MB;16;1;3;Joven;ENG;28m € - 275m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;10;6;7;3;5;11;2;5;11;5;6;7;13;9;6;3;6;11;6;6;10;1;14;1;9;12;4;6;14;14;4;10;9;14;6;6
Loui Whitehead;Ind;MC, ME (C);ME (C);MB;16;1;2.5;Joven;ENG;30m € - 300m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;10;9;7;5;5;12;10;5;6;6;7;8;10;13;4;6;3;11;6;4;10;4;8;1;13;6;5;7;14;9;7;5;18;11;8;3
Taku Chinyowa;;MC, ME (C);ME (C);MB;16;1;2.5;Joven;ZIM;40m € - 425m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;10;6;7;6;8;13;14;5;1;3;11;7;9;12;6;6;6;8;6;6;14;4;8;1;12;8;7;7;14;14;7;5;17;14;8;1
Elton Simo;;DF (C), MC, ME;ME (C);MC;17;1;2.5;Joven;ENG;0 € - 70m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;7;7;5;9;14;2;5;7;6;11;13;5;10;4;3;5;10;6;8;8;5;12;3;12;7;5;7;8;8;7;7;16;8;7;6
Facundo Buonanotte;;ME (DC), MP (DIC);MP (D);EPD;20;3;4.5;Titular habitual;ARG;33M € - 49M €;2,1M € p/a;30/6/2028;;;;;;;;;;;;13;11;13;12;13;11;14;14;10;14;8;13;14;14;13;12;13;14;12;9;14;8;14;13;11;14;15;9;14;14;16;7;13;12;13;10
Wilfried Gnonto;Ofe;MP (DIC), DL (C);MP (I);EXT;21;3;5;Jugador de plantilla;ITA;39M € - 51M €;3M € p/a;30/6/2028;;;;;;;;;;;;14;12;12;11;13;8;15;15;5;14;8;14;10;12;6;11;13;14;5;8;9;2;11;10;5;15;13;3;16;16;18;5;17;14;11;14
Gabriel Gudmundsson;;DF/CR/ME/MP (I);ME (I);EXT;26;3.5;3.5;Titular habitual;SWE;31M € - 37M €;3,61M € p/a;30/6/2029;;;;;;;;;;;;9;13;10;10;10;11;12;13;8;13;12;14;8;14;9;13;10;13;7;9;12;5;13;6;12;15;15;8;16;15;17;10;11;15;14;11
Noah Okafor;;MP (DI), DL (C);MP (I);DES;25;3;3.5;Titular habitual;SUI;31M € - 37M €;3,91M € p/a;30/6/2029;;;;;;;;;;;;12;14;12;13;12;12;12;13;8;14;6;13;11;12;4;11;14;13;5;9;12;8;12;10;7;14;14;5;15;13;13;12;12;15;11;13
Brenden Aaronson;;ME (C), MP (DIC);MP (C);CI;24;3;3.5;Jugador de plantilla;USA;28M € - 31M €;2,7M € p/a;30/6/2027;;;;;;;;;;;;13;12;16;9;10;12;12;13;8;17;9;16;11;17;12;10;11;13;10;8;9;6;12;12;13;14;14;9;15;15;10;8;18;14;18;5
Daniel James;;ME (D), MP (DI);MP (D);EXT;27;3;3;Jugador de plantilla;WAL;18,5M € - 23M €;3,91M € p/a;30/6/2029;;;;;;;;;;;;13;9;15;9;6;8;14;12;5;13;10;14;7;17;10;13;12;11;7;4;9;2;7;8;9;8;11;4;19;16;13;6;16;18;16;8
Jack Harrison;;ME (DI), MP (DI);MP (I);DES;28;3;3;Cedido en otro club;ENG;19M € - 23M €;4,21M € p/a;30/6/2028;;;;;;;;;;;;11;11;11;11;10;8;17;14;7;12;10;13;11;14;13;12;11;16;10;5;11;5;11;9;6;12;11;4;14;12;14;7;17;14;17;9
Largie Ramazani;NoI;MP (DI), DL (C);MP (I);EXT;24;3;3.5;Cedido en otro club;BEL;31M € - 39M €;3,3M € p/a;30/6/2028;;;;;;;;;;;;9;8;8;11;9;10;14;14;3;13;4;14;9;14;4;11;14;13;8;4;6;4;12;13;4;14;15;4;18;14;8;5;13;17;12;6
Joe Gelhardt;NoI;ME (D), MP (DI);MP (D);DES;23;2.5;3.5;Cedido en otro club;ENG;7,4M € - 9,4M €;1,2M € p/a;30/6/2027;;;;;;;;;;;;15;12;15;9;9;10;15;14;4;13;5;9;11;14;10;12;14;13;10;9;13;4;13;15;5;14;14;4;14;15;12;8;11;14;11;12
